id,text,parent_id,weight,sentiment
37,"Causal language describes the way in which objects in a temporal distribution relate to each other.",36,5,1
38,"A temporal distribution can vary in either temporal direction infinitely and be an infinite causal chain so long as causal relations continue to hold in either direction.",37,5,1
39,"While it is true that, in a per accidens causal chain, beings do not need to obtain causal power from another being, it is not true in a per se causal chain. In that case, objects (and other beings) do need to obtain their causal power externally.",36,5,-1
40,"Per se causal chains are comprised of agents who's causal power is ""borrowed"" from another source. An infinite chain of such agents would provide no real source of causal power. ""Turtles, all the way down."" as it were.",35,5,1
41,"Infinite causal chains are possible in an infinite universe.",35,5,-1
42,"Only ""per accidens"" chains may regress to infinity. (These are also occasionally referred to as linear chains.)  ""Per se"" chains may not regress to infinity, regardless of the infinitude (or lack thereof) of the universe. (These are also occasionally referred to as hierarchical chains.)",41,5,-1
43,"Per se causal chains are composed of a principal cause, and a series of subsequent instrumental causes. An instrumental cause is one that derives whatever causal power it has from something else. In Aquinas’ famous example, the stick that the hand uses to push the stone has no power to push the stone on its own, but derives its stone-moving power from the hand, which uses it as an “instrument.” A principal cause is one that does have its causal power inherently.",42,5,1
44,"Our universe is not infinite.",41,5,-1
45,"Unless a method by which a finite thing can become infinity big in a finite time is provided, the big bang is sufficient to disprove an infinite universe.",44,5,1
46,"In the spirit of Einstein's theory of general relativity; the Big Bang was not a point in space but a moment in time. The Big Bang happened at all points in space at the same time. It is incorrect to say that the primordial universe was of finite size as this concept of size in not well-defined as such. It is unclear whether the universe is of finite size, however observational data best fit with the conclusion that the universe is infinite and flat.",45,5,-1
47,"Even if it is true that causal chains cannot regress infinitely, assuming that the first cause is God is begging the question.",41,5,1
48,"The cause is merely the absence of anything decomposing it. Absent such a decomposing cause, things will persist as they are.",47,5,1
49,"Max Tegmark's 'Mathematical Universe' argues that the foundational 'component' of composite things is mathematics, not God.",47,5,1
50,"The proof from composition states that composite things are caused by, not composed of, God.",49,5,-1
51,"A causal chain can regress to infinity just as it can continue onward to infinity, provided that no change in the given direction of time starts from or results in something which is incapable of accumulating change, and provided the environment involved doesn't reach a stage in the given direction of time which permanently prohibits the accumulation of change in that temporal direction.",35,5,-1
52,"""per accidens"" (or linear) causal chains can indeed regress to infinity.  However, there is another kind of causal chain. This kind of causal chain cannot, by its very nature, regress to infinity. ""Per se"" (or hierarchical) causal chains are ones where each link has its causal power instrumentally, not inherently. Per se causal chains occur simultaneously, all at once.  To bring ""time"" into the discussion is to discuss per accidens causal chains, which are not a part of the proof.",51,5,-1
53,"An absolutely simple being is of necessity pure actuality (as opposed to potentiality) and thus is necessarily all-powerful, all-knowing, immaterial, etc.",34,5,1
54,"If there is an Unmoved Mover at the root of all change in the universe, then that means every potentiality which is actualized, or even could be actualized is fundamentally derivative of that Mover. To be able to actualize every possible potentiality is just what it means to be ""omnipotent.""",53,5,1
55,"This kind of ""omnipotence"" need only be in place at the time of the universe's creation, and does not need to be an active force, making the Unmoved Mover a deistic God, rather than theistic.",54,5,-1
56,"The Unmoved Mover is not proved by reference to a chronological beginning of the world, but rather a hierarchical ""beginning"" of the world, which is here and now, at every moment of time in action.",55,5,-1
57,"In fact, Aquinas considered that reason alone could not prove that the world had a beginning. Aristotle considered that the universe had always existed, yet he made a similar first-way argument [13] for the existence of God.",56,5,1
58,"The Unmoved Mover is outside of time (eternal), therefore it is present before the begining of time and has no end.",55,5,-1
59,"The ability to actualize is distinct from actualization. The ability to actualize requires decision making power, whereas intelligence is not required for actualization. The ultimate cause of the universe only requires actualization.",54,5,-1
60,"If there is not an Unmoved Mover at the root of all change in the universe, then that means no potentiality which is actualized, or even could be actualized is fundamentally derivative of such an Unmoved Mover. No such Unmoved Mover has been demonstrated to exist, let alone to exist and be omnipotent. If an Unmoved Mover does not exist, then it can have no direct effect on the real world and is therefore not omnipotent in reality.",54,5,-1
61,"If one accepts that the universe came into existence, then to argue it must have been caused assumes that the current laws of the universe were the same at the time of creation. We know that the physical laws break down at a certain point, so it is conceivable that the cause/effect principle did not apply at the beginning.",34,5,-1
62,"The principle of causation is not a physical law.",61,5,-1
63,"The principle of causation only states that causes are at least partially responsible for effects, and effects are at least partially dependent on causes. It isn't necessary that time be involved whatsoever.",62,5,1
64,"Imagine a ball colliding with a sheet of fabric. When the ball impacts with the fabric it creates a dent in it - but the dent appears at the exact same time as the impact. However, despite no time difference between the cause and effect, we still know which is which.",63,5,1
65,"The argument from change (properly understood) makes no claim about the historical creation of the universe. This would be a ""per accidens"" causal chain, which can, in theory, extend backwards forever. The argument depends on a ""per se"" causal chain which is present at every distinct moment of existence. Thus the ""physical laws"" are irrelevant to the validity of the argument.",61,5,-1
66,"The argument is inductive, as it assumes all changes have causes from our experience, which is bound by the natural laws. That being said, these laws many not apply on the quantum level or at the beginning of the universe.",65,5,-1
67,"Time is a measure of change - without time, there is no change. As such, it does not make sense to discuss a cause that brought the universe and time into existence, since the universe going from potential to actual entails change.",34,5,-1
68,"Change does not require time to pass. Change in the broad sense meant here means only ""actualization of potential."" If there were no time, but only one moment of existence for our world, that moment would still require the actualization of the potential for existence in all the myriad things of this world. Thus, each and every distinct moment of time, and not any collection of moments, represents ""change"" in the relevant sense.",67,5,-1
69,"Change is a ""an act or process through which something becomes different."" Acts and processes ential time; indeed, Aristotle recognized that time is a measure of change. To speak about a moment of ""existence"" without time is nonsensical, as nothing has been demonstrated to exist outside of time.",68,5,-1
70,"While temporal change is a valid kind of change, it is not the (only) kind of change meant by the proof from change. As stated in the proof, all that is meant by ""change"" is ""actualization of potential."" Temporal change is a subset of the kind of change meant here.",69,5,-1
71,"A potential cannot become actual without the passing of time. This follows because a potential isn't actual, and while it can *become* actual this must temporally follow the state where it hasn't yet been actualized. It is impossible for there to be no temporal distinction between a potential and an actuality, because such a thing would imply the potential and the actuality are the same thing (which they by definition aren't). Therefore there must be passing of time for change to happen.",70,5,-1
72,"An instance in time is analagous to a picture. Change occurs over subsequent instances, much like a series of photos can demonstrate change in the setting.",68,5,-1
73,"-> See 1.1.1.4.2.2.1.3.4.1.1.1.",72,5,-1
74,"The argument doesn't negate the possibility of multiple unmoved movers.",34,5,-1
75,"This series of ""unmoved movers"" would, as a whole comprise the single set we would understand as a classical theistic god.",74,5,-1
76,"In order for there to be multiple unmoved movers (composed of Pure Act), there must be some differentiating feature that one mover has and the others lack. There can only be a differentiating feature if there is some unactualized potential one mover has.  But this defeats the definition of the unmoved mover as pure act, with no potentiality whatsoever.  Thus, if there is an unmoved mover, by definition, there must only be one. (Oneness being a classical attribute of God)",74,5,-1
77,"There is no need for there to be a differentiating feature beyond it not being the same one.",76,5,-1
78,"Two things can only be distinct if they have some feature which differentiates them. Even two theoretically identical apples are different in that they are not in the same location, and are not composed of the exact same atoms. There must be at least one differentiating feature.",77,5,-1
79,"If God is everywhere then location does not matter. If God is immaterial then atoms don't factor into the differentiation.",78,5,-1
80,"There is no reason to assume that any of the other non-composite entities need to be pure act (Unmoved movers).",76,5,-1
81,"By definition, an Unmoved Mover, First Cause or Necessary Being must be pure act.",80,5,-1
82,"Reality is not divided by Act and Potency.",34,5,-1
83,"The fact that a semantic distinction can be made between actuality and potentiality does not imply anything but our own creativity.",82,5,1
84,"The distinction between act and potency is not merely semantic, but is a real feature of the world.",83,5,-1
85,"The very first of the famous Twenty Four Thomistic Theses [14] is: “Potency and Act divide being in such a way that whatever is, is either pure act, or of necessity it is composed of potency and act as primary and intrinsic principles.”",84,5,1
86,"The postulation of Act and Potency as real features of the universe is a claim which is impossible to verify scientifically.",84,5,-1
87,"The scientific method itself presupposes the existence of Act and Potency as real features of the world. Since these notions are implicit in the business of science, it is intrinsically impossible to scientifically verify their existence.",86,5,1
88,"Since science is not the only source of truth, it is not necessary to verify the distinction between Act and Potency, if the distinction can be verified in another way.",86,5,-1
89,"Science is the only source for verified metaphysical truth.",88,5,-1
90,"Science cannot verify the truth of mathematics. Science presupposes the truth of mathematics in order to function. But mathematics contains verified truth, so science cannot be the only valid source for truth.",89,5,-1
91,"Mathematics can not verify metaphysical truths, only model scientific truth.",90,5,-1
92,"Scienctific reasoning can be applied to metaphysical realms and could corroborate spiritual and religious claims.",89,5,-1
93,"This is false. Science assumes a metaphysics which allows it to operate. Even the very notion of causation is a metaphysical posit.",92,5,-1
94,"It is false that philosophy has given up metaphysical concepts [15]. They are still a fundamental part of modern philosophical discussion.",92,5,-1
95,"This can be said to be true, but it can be taken as a defense of Theism. A metaphysical science would for example make use of deductive reasoning or a descending process of acquiring knowledge, meaning taking claims from a religion that make logical sense and then following the procedure prescribed by the religion and discovering if the promised results come.",89,5,-1
96,"The distinction between Act and Potency can be verified deductively, following from the fact of existence, and the fact that change occurs in reality.",88,5,1
97,"If there were no Potency, change could not occur, and if there were no Act, then nothing would exist.",84,5,1
98,"This is no more than a description of the alleged functions of the divided properties, one could as well say ""if there were no phlogiston [16], then nothing could burn"".",97,5,-1
99,"Things that are pure actuality, such as an unmoved mover, are incapable of change [17]. Therefore, things that are pure actuality do not have the capacity to create. If a god is pure actuality, it cannot have created the universe.",97,5,1
100,"Pure actuality is indeed incapable of change. But, pure actuality can create. This is because the act of creation doesn't necessarily entail that the creator must itself change.  Creation/change can only be done by something already in existence; It does not follow that this thing must change in order to create.  If creation required self-change, then the per se causal chains we see in the world would have no first member, which is incoherent, given the nature of per se causal chains.",99,5,-1
101,"Creation constitutes change, especially in the context of origins. Where before, God could be defined as ""the only existing entity"", the act of creation changes God's definition to ""one of many existing entities"".",100,5,-1
102,"This changes God by removing the uniqueness of his existence.",101,5,1
103,"This implies that whenever anything about the universe changes, my essence fundamentally changes as well. Because before, I could be defined as a human living in the universe with state A, but after the change, I would have to be defined as a human living in the universe with state B. This seems absurd. I have not (necessarily) changed because a star was born 10,000 light-years away.",102,5,-1
104,"Changes don't have to be fundamental. Any change is too much for an all act entity.",103,5,-1
105,"A star being born may not affect you, but consider the difference that having an identical twin would have. Loss of uniqueness is extremely consequential, especially for an all act god.",103,5,-1
106,"This changes God by giving him relationships.",101,5,1
107,"Relationships are external to the entity, and do not (necessarily) affect its essence.",106,5,-1
108,"The idea of ""before creation"" is incoherent, because creation includes the creation of time. The word ""before"" does not apply to an extra-temporal context.",101,5,-1
109,"There are two kinds of properties: Cambridge [18] properties [19] and Real properties.  The doctrine of divine immutability properly understood says that God cannot change in any real properties, but it allows that he may change with respect to his Cambridge properties.  God's having created the world is a mere Cambridge property, which shows that creation does not constitute change in the pertinent sense.",101,5,-1
110,"A real property is a property intrinsic to some substance or entity. A Cambridge property [20] is a property of a substance or entity which is in some sense extrinsic, usually relational.  Bob growing a beard is a real change, because it involves the acquisition of a real property. But for Bob to become shorter than Tom, merely because Tom has grown and Bob has stayed the same, is a Cambridge change, because it involves the acquisition of a mere Cambridge property.",109,5,1
111,"God creating the universe and removing his own uniqueness in terms of existence would be a real change.",110,5,-1
112,"Real change is (roughly) change involved in causing something... [21]",109,5,-1
113,"Creation constitutes change in that before creation, God could be defined as ""an entity which has not created"" to ""an entity that has created""",100,5,-1
114,"-> See 1.1.1.4.2.2.1.3.6.1.1.3.2.1.1.4.",113,5,-1
115,"While it is true that the things of our common experience must undergo change themselves when they act upon other things, it does not follow that absolutely anything that acts must necessarily undergo change itself when it acts. To draw such an inference is to commit the fallacy of accident [22].",100,5,1
116,"Creation is one of many things that the classical definition of a god includes.",99,5,1
117,"-> See 1.1.1.4.2.2.1.3.6.1.1.3.2.1.3.",99,5,-1
118,"If everything that exists is changing, then potency and act need not be distinguished. We have yet to observe anything that exists without being in a constant state of change.",97,5,-1
119,"Act and Potency as metaphysical notions are built on an archaic understanding of physics and therefore only exist today as metaphors with no rationale.",82,5,1
120,"-> See 1.1.1.4.2.2.1.3.6.1.1.3.",82,5,-1
121,"Things that are pure act are incapable of change. Therefore, they cannot be omnipotent, which goes against the set definition for this debate.",34,5,-1
122,"The classical definition of a God includes omnipotence.",121,5,1
123,"-> See 1.1.1.4.2.2.1.3.6.1.1.3.2.1.3.",121,5,-1
124,"There is no need to resort to God to explain the changes we see, as a chain of mundane causes could stretch back into infinity.",34,5,-1
125,"There does not necessarily need to be an unmoved mover to explain efficient motion in the world. The world could be explained by circular causes.  For example, A cause B, B caused C, C caused D, and D caused A.  Reality could be structured that acts of potency change into acts of actuality in a circular fashion, hence an unmoved mover would not be necessary to explain original physical motion.",34,5,-1
126,"Such a structure of reality seems to require an infinitely-old universe with an infinite regression of causes and events. Such a regression is logically impossible, and stands at odds with scientific evidence for a finite universe.",125,5,-1
127,"This [23] is yet another formulation of the argument in sequential fashion.",34,5,1
128,"No proof is offered in this link unless we assume the nature of humans to be an arbitrarily defined philosophical entity; something which is virtually impossible to test scientifically or verify",127,5,-1
129,"An ""Unmoved Mover"" (aka a being of Pure Actuality) is not the same thing as God.",34,5,-1
130,"Jesus, in Christianity, is God, in a meaningful and literal sense. However, Jesus had potentialities (e.g. the potential to be born, to age, to speak, to eat, to be crucified, etc.). Thus the God of Christianity couldn't be an Unmoved Mover.",129,5,1
131,"-> See 1.1.1.4.2.2.1.3.7.",129,5,1
132,"-> See 1.1.1.4.2.2.1.3.5.2.",129,5,-1
133,"This is an issue of semantics. Call it God, call it Great Green Arkleseizure, we are talking about the same thing.",129,5,-1
134,"The Unmoved Mover and the First Cause describe a deistic god, not a classical theistic God.",129,5,1
135,"It is not necessary for a single line of evidence to completely describe all features of God. It is enough to say that the evidence supports the existence of a being that meets the classical existence of God. Other lines of evidence may supply more information of God's other attributes.",134,5,-1
136,"According to classical theism, God is the ""absolutely metaphysically ultimate being"" [24]. If a being is a First Cause, this this the same thing as being metaphysically ultimate, therefore the First Cause is God.",134,5,-1
137,"The claim defines ""absolutely metaphysically ultimate being"" as simply the first cause. While the link defines classical theism differently by adding personhood and multiple attributes to the first cause that hasn't been demonstrated. Using the two interchangebly is a fallacy of equivocation.",136,5,-1
138,"The Unmoved Mover is by definition the the ultimate cause of the existence of things, and whatever else God is supposed to be, He is the ultimate cause of things.",129,5,-1
139,"Whatever is the ultimate cause of things (assuming there is such a thing) need not have the other properties attributed to God (e.g. omniscience, omnibenevolence, (trinity))",138,5,-1
140,"This involves ""change"" and ""motion"" are used as a mere synonym for ""coming into existence""/actualization. Since some things do not exist, this entails the Unmoved mover is not perfect, not omnipotent, or both. Therefore, the Unmoved mover is not God.",34,5,-1
141,"This relies on the false notion that nothing can be reduced to act except by what is already in act.",34,5,-1
142,"This premise would require that when a hydrogen balloon is lit by a match to produce H2O, one of the three causes (oxygen, hydrogen, or fire), would necessarily have the actuality of water, but this is absurd.",141,5,1
143,"This [25] is another formulation of Aquinas' First Way.",34,5,1
144,"Given that we don't know anything about the pre-Planck singularity (i.e. when our observable Universe allegedly emerged), the Prime Mover is a worse argument than to simply say ""we don't know"" violating the Occam's razor principle by imposing new complex constructs.",143,5,-1
145,"The universe is considered a thermodynamic closed system, i.e. nothing exists 'outside' of it per se. This means it cannot be affected by something not in the system. If God exists, he should exist solely and wholly in the universe, not without.",143,5,-1
146,"God, as defined in this debate, is transcendant, not contained by the universe.",145,5,-1
147,"The contingency argument [26] (also known as the Leibnizian or modal cosmological argument) states that anything which exists must have sufficient reason to exist. Since the universe exists it must have a sufficient reason, and that reason would be God.",34,5,1
148,"Any entity able to cause the universe's existence would be transcendent, necessary, enormously powerful, and rational (because an irrational abstract ideal has no creative power). Such an entity would rightfully be called God.",147,5,1
149,"The difference between ""enormously powerful"" and ""omnipotent"" is, as the difference between any finite number and infinity, infinite, so it is not reasonable to equate the two; if God is defined as omnipotent, this being is not necessarily God.",148,5,-1
150,"Any argument that refers to the ""cause"" of the universe is circular. A cause by its very nature precedes whatever it has caused. The universe, by definition, is all of spacetime. Since all of time is a part of the universe, it is logically impossible for anything to precede it.",148,5,-1
151,"-> See 1.1.1.4.2.2.1.3.3.1.",150,5,-1
152,"It is impossible for any contingent thing to have preceded the universe.",150,5,1
153,"God is by definition necesary.",152,5,-1
154,"Ontological arguments for God's existence provide a case for His necessity.",153,5,1
155,"If that were true then time would go back infinitely which it does not. There is a clear cut beginning [27].",150,5,-1
156,"A cause need not be chronologically prior to its effect, but must be ontologically prior to its effect.",150,5,-1
157,"Our best scientific evidence indicates that time came into existence. The cause for this event, commonly known as the ""Big Bang"" must necessarily have existed prior to creation, but obviously could not have existed chronologically prior (at a point in time prior) to time.",156,5,1
158,"While the space-time of our Universe may have come into existence in the very earliest moments of the Big Bang, this doesn't foreclose an earlier system that had or continues to have its own time.",157,5,-1
159,"The Borde-Guth-Vilenkin theorem [28] shows that any physically plausible model of the universe which is, on average, expanding throughout its lifetime, most plausibly has a beginning [29].",158,5,-1
160,"The class of cosmologies satisfying Borde-Guth-Vilenkin [30] are not limited to inflating universes. Of particular interest is the recycling scenario  in which each comoving region goes through a succession of inflationary and thermalized epochs.",159,5,-1
161,"In some versions of the cyclic model the brane spacetimes are everywhere expanding, so this theorem [31] immediately implies the existence of a past boundary at which boundary conditions must be imposed.",160,5,-1
162,"In other versions, there are brief periods of contraction, but the net result of each cycle is an expansion. For null geodesics each cycle is identical to the others, except for the overall normalization of the affine parameter. Thus, as long as Hav > 0 for a null geodesic when averaged over one cycle, then Hav > 0 for any number of cycles, and this theorem [32] would imply that the geodesic is incomplete.",160,5,-1
163,"When accounting for quantum phenomena the universe is predicted to have had no beginning [33].",160,5,-1
164,"The Lamda Cold Dark Matter Model describes a beginning to the universe due to quantum phenomena.",163,5,-1
165,"-> See 1.1.1.4.2.2.1.3.15.1.2.4.1.1.1.1.3.",159,5,-1
166,"The Bord-Guth-Vilenkin theory applies as wel [34]l to a ""bubble"" multiverse.",158,5,-1
167,"The math that predicted black holes also predicts white holes. The birth of our Universe seems to fit the description of a white hole. Rather than intense gravity, it has intense cosmological force. It is one-way out, rather than one-way in. Black holes in one Universe may be white holes in another.",158,5,1
168,"The contingency argument is self-defeating since it implies that God must also have a sufficient reason to exist.",147,5,-1
169,"The Principle of Sufficient Reason suggests that everything requires a sufficient reason for its existence, but says nothing about whether this reason is internal or external to the thing itself.",168,5,-1
170,"If God could be the sufficient reason for his own existence, so could the universe be it's own reason for existence.",169,5,-1
171,"The universe requires a necessary cause whose nonexistence would be impossible. The universe itself is known to not be necessary, and its nonexistense is entirely conceivable.",170,5,-1
172,"There is no reason to assume God's nonexistence is impossible.",171,5,-1
173,"-> See 1.1.1.4.2.2.1.3.15.1.2.2.1.1.",172,5,-1
174,"A universe (or temporally ordered series of universes) that did not begin to exist is philosophically incoherent because it implies the concrete existence of an actual infinity",172,5,-1
175,"Actual infinities are near-unanimously accepted as a legitimate concept of mathematics leaving no room to doubt the possibility that it could be instantiated in the real world",174,5,-1
176,"Near-unanimous acceptance as a mathematical concept is irrelevant.",175,5,-1
177,"Strict logical or mathematical coherence is not identical to metaphysical possibility, which is restricted by additional intuitions, conceivability considerations, or various other things depending on your epistemology of modality",176,5,1
178,"There is not a consensus in mathematics. Intuitionism, constructivism, and anti-platonism all do not consider concrete actual infinities to be possible for one reason or another",175,5,-1
179,"Actual infinities exist.",174,5,-1
180,"Continuum - If space is continuous, there are an infinite number of infinitesimal points in any space interval. If time is continuous, there are an infinite number of instants in any time interval. (see plato.stanford.edu [35] for a scholarly summary and or www.quora.com [36] for a popular summary)",179,5,1
181,"We can treat a line as logically proceeding its division into parts and points such that points only exist after we specify them and therefore will always be finite.",180,5,-1
182,"This assumes a controversial view of space-time structure when space and time might be quantized (see www.scientificamerican.com [37] for a popular summary)",180,5,-1
183,"Though worded to describe physical things, these are examples of numerical infinites, not actual infinites.",180,5,-1
184,"Spacetime - the four-dimensional universe might be infinite in its 4D volume given that science suggests the universe will expand indefinitely into the future",179,5,1
185,"This assumes a B-theory of time [38] and would be undermined on an A-Theory of time",184,5,-1
186,"-> See discussion #17746: A-theory or B-theory of time?",185,5,1
187,"Scientific evidence can never justify the future being endless. All theories will fail to be predictive beyond some finite time in the future. Said another way, it will always be consistent with empirical evidence that the universe will come to an end given enough time",184,5,-1
188,"An actual infinity could never be observed to exist in principle (i.e. our experience can only be of finite things), leaving only the usefulness of infinity in some theory to be potential evidence that one exists",179,5,-1
189,"Actual infinities are entailed by theism.",174,5,-1
190,"If infinities do not exist then God cannot be omnibenevolent nor omnipotent.",189,5,1
191,"This commits a category error. Omnipotence and omnibenevolence are qualitative properties; an infinite regress of events is a quantitative property.",190,5,-1
192,"God’s omniscience involves an actually infinite number of thoughts in God’s mind or the grasping of an infinite number of propositions",189,5,1
193,"God's thoughts are a unified whole and not something consisting of parts",192,5,-1
194,"This is incoherent; ""thoughts"" is necessarily plural.",193,5,-1
195,"Even if they can be unified, they also can be divided.",193,5,-1
196,"It is not apparent than there are an actually infinite number of true thoughts.",192,5,-1
197,"The proposition ""1 is less than 2"" is a true and is a thought that one might have. The same goes for ""2 is less than 3"" and so on. If each of these is considered a single thought in the mind of God, than God has an actually infinite number of true thoughts given that the integers form an abstract actual infinity and God hold to all these thoughts.",196,5,-1
198,"It is not obvious how one would isolate one single thought so that it might be counted.",192,5,-1
199,"As a general claim for all sentient creatures this is false. The notion that humans can ""focus"" or ""concentrate"" implies that they have distinguishable thoughts that can be more or less paid attention to. Or consider how counting to 10 involves at least 10 separate thoughts entering one's mind. While an exact line cannot be drawn between thoughts, that doesn't imply the thoughts are not distinguishable enough to be numerable.",198,5,-1
200,"A thought is an immaterial entity; immaterial entities are not subject to the physical bounds of time and space which constrain actual infinities of physical entities.",192,5,-1
201,"Thoughts are instantiated in brains and correspond to material states of those brains. While an immaterial God might be an exception to this, relying on this property of God to make the argument make sense amounts to begging the question.",200,5,-1
202,"Heaven is defined to be eternal and thus time in heaven must go on infinitely into the future. Nothing distinguishes such an infinite future from an infinite past in a relevant way. Therefore, accepting the possibility of the former implies one accepts the possibility of the latter.",189,5,1
203,"It is incorrect that an infinite past is the same as an infinite future. Past infinity is an absolute infinity; future infinity is only a potential infinity.  If the past is infinite, then an actually-infinite number of seconds has already elapsed. But if the past is finite and the future is infinite, then the total number of seconds elapsed will always be a finite (albeit very large) number.",202,5,-1
204,"If God knows what happens at all times, past, present, and future, then if the future is infinite, God knows about an infinite number of future times.",203,5,-1
205,"This must assume a controversial growing block view [39] of spacetime (i.e. an infinite past is a static actually-infinite block while the future doesn't exist). On presentism and standard B-theory views of spacetime, the future and past are metaphysically identical, equally non-existent or equally real respectively. For these more mainstream views, the use of tensed language (e.g. ""has already elapsed"") is not metaphysically meaningful. (see Wes Morrison paper [40], Bill Craig Rebuttal [41], Wes Rebuttal [42])",203,5,-1
206,"The possibility of an actual infinity leads to absurdities as various thought experiments [43] can illuminate for any sincere inquirer (e.g. Hilbert’s Hotel, Infinite Library, Benardete’s Big Read, various supertasks)",174,5,1
207,"Zeno's paradox [44] has been demonstrated fallacious (and ends up not being paradoxical at all) - as the sum of the infinitesimal quantities add up to a finite quantity disproving it's solution and achieving a solution which is perfectly compatible with our every day experience.",206,5,-1
208,"Zeno’s paradox shows that there really isn’t an infinite number of spaces between two points.",207,5,-1
209,"Zeno assumes an infinite number of tasks cannot be completed in a finite amount of time. This assumption is false (supertasks [45]).",207,5,1
210,"Galileo's paradox [46] poses no issue with infinities, it just shows that they are unquantifiable (which is perfectly in line with the meaning of infinite). It also shows that some infinities are faster moving/growing than others (ie. someone who runs forever will always be ahead of someone who walks forever), which is compatible with our experience and with the definition of infinity.",206,5,-1
211,"The Grand Hotel [47] ""paradox"" is provably true, therefore not illogical (and therefore only paradoxical in the sense of being counter-intuitive).",206,5,-1
